,,,,,,,,,,,,,,,
,,,,Safety Inspection Checklist,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Ship's Name,,,,,Rank,Chief Engineer,,,MASTER,,,,,
,Inspection Date,,,,,Name,,,,,,,,,
,Inspector,,,,,Sign,,,,,,,,,
,Owners,,,,,,,,,,,,,,
,Ship Management,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,No.,Section / Item,,,,,,"Result
(NC)",Risk,,,Comments,,,
,1 Gangway,,,,,,,,,,,,,,
,1.1,"Are there any defects on the gangway? (Step, Frame, Platform, Shaft, Supporting rod, Roller, Stanchion, Handrail)  
갱웨이 상태 (스탭, 프레임, 플랫폼, 샤프트, 서포팅 로드, 롤러, 스탠션,
핸드레일)",,,,,,,8,,,,,,
,1.2,"Is there any defect in the wire for the gangway? (Twist, kink, deformation, dia. reduction, sheaves, greasing)  
갱웨이 와이어 상태 (뒤틀림, 꼬임, 변형, 직경감소, 도르래, 그리싱)",,,,,,,6,,,,,,
,1.3,"Operating condition of gangway (davit, motor, limit switch, remote controller, controller box, etc.) 
갱웨이 작동상태 (데빗, 모터, 리미트 스위치, 컨트롤러, 보관박스 등)",,,,,,,6,,,,,,
,1.4,"Securing device for gangway (lashing socket, lashing hook, etc.) 
갱웨이 고박 설비 (라싱 소켓, 후크 등)",,,,,,,6,,,,,,
,1.5,"Is gangway installed and safety net rigged properly? 
갱웨이 및 안전망 설치 상태",,,,,,,4,,,,,,
,1.6,"Are security posts displayed near the gangway? 
(security level, caution, etc.)  
현문 주변 보안관련 부착물 상태 (보안등급, 주의사항 등)",,,,,,,1,,,,,,
,1.7,"Is it keep cleaning condition near gangway?
현문 주위 청결상태",,,,,,,1,,,,,,
,1.8,"Is the duty crew keep contiuously gangway watch? 
현문 당직자 근무 상태 (근무지 이탈여부)",,,,,,,4,,,,,,
,1.9,"Is the duty crew carry out checking visitors according to the relevant procedures? (ID card check, visitor log, visitor pass)
방선자 통제 절차 (ID CARD 확인, 방문자 일지 기록, 방문증 제공)",,,,,,,9,,,,,,
,1.10,"Accurate record of visitor log (No. of bags, visitor pass number, etc.). 
Visitor log의 정확한 기재 여부 (수화물 개수, 방문자 번호, 등)",,,,,,,6,,,,,,
,2 Certificate and Etc.,,,,,,,,,,,,,,
,2.1,"Are all vessel certificates valid and kept/managed by the Master? (Validity, contents) 
선박 증서 관리 (유효성, 기재 내용)",,,,,,,12,,,,,,
,2.2,"Are the personnel certificates signed by the possessor? (Medical certificate, Passport, License, etc) 
개인 증서 서명(건강 진단서, 여권, 자격증 등)",,,,,,,2,,,,,,
,2.3,"Are all ship's documents/format up to date?
문서/양식 최신화",,,,,,,8,,,,,,
